# Content manifest -- FV-AGOP blog post
#
# The SHA-256 of THIS FILE is what gets timestamped. Each line below
# pins one constituent file, so a single proof covers the whole bundle.
# To check a live copy: re-hash each source_path and compare.
#
# Scope: prose, evidence figures, data tables, diagram, decorative art.
# NOT covered: CSS/JS (site-level presentation, changes independently).

manifest-version: 1
article-id: blog/fv-agop-dev-interp
generated: 2026-08-25T05:02:06-07:00
file-count: 31

# role | figure | bytes | sha256 | site_path | source_path
data-table | - | 717 | 2e92694890b81b02c888a6849ec91bd2c070a87149fd708cf81169346d0cf0ee | /Blog/fv-agop-dev-interp/data/fig2_logit.csv | content/Blog/fv-agop-dev-interp/data/fig2_logit.csv
data-table | - | 697 | 47d9ef41f27387ce304550498e710e67356549a79b0f56bc4566c236074cd810 | /Blog/fv-agop-dev-interp/data/fig2_top1.csv | content/Blog/fv-agop-dev-interp/data/fig2_top1.csv
data-table | - | 1330 | 0d2722073df473deadedd6bf05cfb9f314163bc1cac52d400b25428991169ce6 | /Blog/fv-agop-dev-interp/data/fig3_logit.csv | content/Blog/fv-agop-dev-interp/data/fig3_logit.csv
data-table | - | 1307 | d68bf60669a0798c26d876c3c18b463cce59ad7d7ec4320a8c0f5b0b09b76646 | /Blog/fv-agop-dev-interp/data/fig3_top1.csv | content/Blog/fv-agop-dev-interp/data/fig3_top1.csv
data-table | - | 1316 | e2bd3863ed771c90403af6279831db668d132a54cb9bf4d5d284ee9f110e4edd | /Blog/fv-agop-dev-interp/data/fig4_alignment.csv | content/Blog/fv-agop-dev-interp/data/fig4_alignment.csv
data-table | - | 1306 | aba619fbdaecb8468509af769f8f1255b1edd1945706da2b583796d290f69680 | /Blog/fv-agop-dev-interp/data/fig5_alignment.csv | content/Blog/fv-agop-dev-interp/data/fig5_alignment.csv
data-table | - | 532 | 30dff33150e41fc13d437b09bd4be26cc6835309ef8c9dc01c38856cc1372acf | /Blog/fv-agop-dev-interp/data/fig6_energy.csv | content/Blog/fv-agop-dev-interp/data/fig6_energy.csv
data-table | - | 281 | ef337a0890ecdf8e305bcaaad267fcf46847ce3076ff26755e5c60037ba006a1 | /Blog/fv-agop-dev-interp/data/fig7_ksweep.csv | content/Blog/fv-agop-dev-interp/data/fig7_ksweep.csv
data-table | - | 682 | 8fbf8a38c172c92d10862baea15528c151deea082c636fcd488962358e304533 | /Blog/fv-agop-dev-interp/data/fig8_logit.csv | content/Blog/fv-agop-dev-interp/data/fig8_logit.csv
data-table | - | 673 | 83bf37ac6273ce4a10ec2ae809e10d1d05f31e6d0cdac9828f973666ee91739e | /Blog/fv-agop-dev-interp/data/fig8_top1.csv | content/Blog/fv-agop-dev-interp/data/fig8_top1.csv
data-table | - | 1976 | 2da6cffeb907dce8687d787561c143f59458302fabdf2e98baddafcd7fe11479 | /Blog/fv-agop-dev-interp/data/fig9_advantage.csv | content/Blog/fv-agop-dev-interp/data/fig9_advantage.csv
